date,legs,routes,single_leg_routes,multi_leg_routes,round_trip_routes,economic_multileg_routes,cross_venue_routes,cross_venue_share,cross_venue_usd_share,cross_venue_share_unfiltered,cross_venue_usd_share_unfiltered,round_trip_share_of_multileg,round_trip_usd_share_of_multileg,economic_multileg_usd,cross_venue_usd,total_usd,venues_active
2020-02-11,4,4,4,0,0,0,0,,,,,,,0.0,0.0,4214.553118,1
2020-02-14,1,1,1,0,0,0,0,,,,,,,0.0,0.0,1583.654353,1
2020-02-16,1,1,1,0,0,0,0,,,,,,,0.0,0.0,435.674141,1
2020-02-19,1,1,1,0,0,0,0,,,,,,,0.0,0.0,140.784411,1
2020-02-20,2,2,2,0,0,0,0,,,,,,,0.0,0.0,3632.458306,1
2020-02-22,2,2,2,0,0,0,0,,,,,,,0.0,0.0,7311.054956,1
2020-02-24,1,1,1,0,0,0,0,,,,,,,0.0,0.0,3064.704847,1
2020-02-25,1,1,1,0,0,0,0,,,,,,,0.0,0.0,2708.98,1
2020-02-26,1,1,1,0,0,0,0,,,,,,,0.0,0.0,1000.0,1
2020-02-27,1,1,1,0,0,0,0,,,,,,,0.0,0.0,90.613037,1
2020-03-03,3,3,3,0,0,0,0,,,,,,,0.0,0.0,1419.0956059999999,1
2020-03-08,2,2,2,0,0,0,0,,,,,,,0.0,0.0,38980.389633,1
2020-03-09,1,1,1,0,0,0,0,,,,,,,0.0,0.0,100.732252,1
2020-03-11,2,2,2,0,0,0,0,,,,,,,0.0,0.0,1775.152298,1
2020-03-24,1,1,1,0,0,0,0,,,,,,,0.0,0.0,0.645374,1
2020-04-20,2,2,2,0,0,0,0,,,,,,,0.0,0.0,1.997632,1
2020-04-22,53,53,53,0,0,0,0,,,,,,,0.0,0.0,342157.508152,1
2020-04-23,73,73,73,0,0,0,0,,,,,,,0.0,0.0,517704.890736,1
2020-04-24,16,16,16,0,0,0,0,,,,,,,0.0,0.0,65958.53957699999,1
2020-04-25,64,64,64,0,0,0,0,,,,,,,0.0,0.0,103709.92501547723,1
2020-04-26,123,123,123,0,0,0,0,,,,,,,0.0,0.0,285559.42865325796,1
2020-04-27,125,125,125,0,0,0,0,,,,,,,0.0,0.0,1072912.832416287,1
2020-04-28,85,85,85,0,0,0,0,,,,,,,0.0,0.0,330822.50133508496,1
2020-04-29,186,186,186,0,0,0,0,,,,,,,0.0,0.0,2206217.8072132897,1
2020-04-30,177,177,177,0,0,0,0,,,,,,,0.0,0.0,1418125.2393280724,1
2020-05-01,141,141,141,0,0,0,0,,,,,,,0.0,0.0,756520.8190151495,1
2020-05-02,36,36,36,0,0,0,0,,,,,,,0.0,0.0,69113.38796229353,1
2020-05-03,72,72,72,0,0,0,0,,,,,,,0.0,0.0,230004.9512020113,1
2020-05-04,196,196,196,0,0,0,0,,,,,,,0.0,0.0,734501.7747373088,1
2020-05-05,78,78,78,0,0,0,0,,,,,,,0.0,0.0,283914.6341987654,2
2020-05-06,159,158,157,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000689,0.0,2298479.363379791,2
2020-05-07,89,89,89,0,0,0,0,,,,,,,0.0,0.0,530402.6271226691,1
2020-05-08,60,60,60,0,0,0,0,,,,,,,0.0,0.0,654633.0819754605,1
2020-05-09,82,82,82,0,0,0,0,,,,,,,0.0,0.0,329663.5799433431,1
2020-05-10,171,171,171,0,0,0,0,,,,,,,0.0,0.0,780431.1483612191,1
2020-05-11,135,135,135,0,0,0,0,,,,,,,0.0,0.0,490875.7888474721,2
2020-05-12,37,37,37,0,0,0,0,,,,,,,0.0,0.0,86651.85185406744,2
2020-05-13,132,132,132,0,0,0,0,,,,,,,0.0,0.0,1246734.99489061,2
2020-05-14,68,67,66,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,377237.200335064,2
2020-05-15,92,91,90,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,7.278277294792404,0.0,466392.9064972367,2
2020-05-16,36,35,34,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.336338,0.0,154210.76026972188,2
2020-05-17,84,81,79,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.153148,0.0,357964.83831563126,2
2020-05-18,763,698,642,56,0,56,0,0.0,0.0,0.0,0.0,0.0,0.0,3644.785909773339,0.0,449154.16049838247,2
2020-05-19,4989,4501,4079,422,5,417,0,0.0,0.0,0.004739336492890996,0.02362684217561958,0.011848341232227487,0.027814366129945315,91093.48226025936,0.0,1321775.455280766,2
2020-05-20,4817,4327,3899,428,13,415,0,0.0,0.0,0.004672897196261682,0.07576134573650985,0.030373831775700934,0.099540871211998,68341.98449644729,0.0,1487866.178689272,2
2020-05-21,3564,3125,2742,383,17,366,4,0.01092896174863388,0.055100997725519574,0.04177545691906005,0.18481358511417545,0.044386422976501305,0.1530975837566429,90250.61761646668,4972.899076011668,1455314.5875213183,2
2020-05-22,4651,4122,3658,464,17,447,11,0.024608501118568233,0.1279631976585423,0.04741379310344827,0.2097053709801133,0.036637931034482756,0.09867329646961928,129018.78595070164,16509.656408274794,1669061.9075704485,2
2020-05-23,5082,4549,4099,450,15,435,6,0.013793103448275862,0.10692684016560486,0.024444444444444446,0.18822734542631633,0.03333333333333333,0.100617071419839,69622.4586189542,7444.509504685355,1702952.607315382,2
2020-05-24,4687,4144,3685,459,12,447,9,0.020134228187919462,0.09808701137181974,0.034858387799564274,0.2096865244482389,0.026143790849673203,0.12953406664678913,80740.95683541325,7919.639151286787,1490570.6065801096,2
2020-05-25,4832,4339,3922,417,16,401,6,0.014962593516209476,0.07317268319563645,0.023980815347721823,0.14124575256504032,0.03836930455635491,0.10829060507484295,73464.32681110976,5375.581911930036,1613817.0273331788,2
2020-05-26,7290,6360,5646,714,13,701,3,0.0042796005706134095,0.009471093565710988,0.008403361344537815,0.028235829510966537,0.018207282913165267,0.040710971173689194,109611.32148209334,1038.1390816181329,1845292.1707011277,2
2020-05-27,5272,4677,4158,519,18,501,4,0.007984031936127744,0.016159246380708495,0.01348747591522158,0.05859895824743243,0.03468208092485549,0.05876579219916142,107421.19817651229,1735.8456078451761,1391104.355462722,2
2020-05-28,4784,4210,3732,478,15,463,3,0.0064794816414686825,0.05710842357054424,0.01882845188284519,0.1325422873064111,0.03138075313807531,0.08954014477183996,95921.7078910496,5477.937523852077,1562313.6345029173,2
2020-05-29,5409,4760,4208,552,25,527,10,0.018975332068311195,0.107549129487152,0.028985507246376812,0.17916180886209812,0.04528985507246377,0.10659558103954135,162620.4540783466,17489.688272931555,2766791.232917352,2
2020-05-30,4888,4288,3782,506,26,480,7,0.014583333333333334,0.12877117795516674,0.025691699604743084,0.25037703688337465,0.05138339920948617,0.15068887974451559,136462.2524574476,17572.404995360877,2221405.014746583,2
2020-05-31,7900,7079,6368,711,35,676,9,0.013313609467455622,0.05050705984041775,0.02390998593530239,0.10586354947735327,0.04922644163150492,0.09083381184149025,221912.84610085204,11208.165397373148,2692608.1876561814,2
2020-06-01,7716,6940,6266,674,30,644,5,0.007763975155279503,0.045777140006461346,0.01483679525222552,0.1126232450833098,0.04451038575667656,0.11542202719600893,145609.89314052084,6665.604464619498,2938092.8053184915,2
2020-06-02,7714,6887,6172,715,35,680,8,0.011764705882352941,0.06365846942254193,0.015384615384615385,0.10249875627207672,0.04895104895104895,0.07019806152038228,255685.20238427504,16276.528637775817,4701515.033516004,2
2020-06-03,11011,9945,9037,908,43,865,8,0.009248554913294798,0.05102844687381206,0.012114537444933921,0.06242211969466047,0.0473568281938326,0.04511235937601653,160361.28954557388,8182.98754419231,3809907.1723963376,2
