date,eth_usd,pool_depth_usd,gas_gwei_receipt,gas_gwei_basefee,gas_gwei
2020-05-05,201.48625086106713,0.989,,,22.0
2020-05-17,205.50987761336265,373.36012438546817,22.0,,22.0
2020-05-29,222.5573569290657,2032850.557593088,,,22.0
2020-06-10,247.65220548448795,2642797.32809716,,,22.0
2020-06-22,244.26618022134542,1658985.2838138852,,,22.0
2020-07-04,223.34756114685115,3457721.1067032856,,,22.0
2020-07-16,239.14621451706083,4396759.048616,,,22.0
2020-07-28,320.5008021725238,5663722.833853,73.0,,73.0
2020-08-09,392.1202807920261,10002019.048244,,,73.0
2020-08-21,414.67256027106026,9990489.895935,,,73.0
2020-09-02,468.92647368478197,132105990.19599,,,73.0
2020-09-14,374.13414125450987,107700943.038102,133.411758764,,133.411758764
2020-09-26,352.0889162260022,202555841.816499,,,133.411758764
2020-10-08,351.33567532114205,261208186.483178,71.0,,71.0
2020-10-20,379.09477073748366,295452583.149612,,,71.0
2020-11-01,388.89304122920714,297351658.091948,,,71.0
2020-11-13,466.37294733563994,336789723.138631,,,71.0
2020-11-25,593.2927426896191,88209752.999005,56.0,,56.0
2020-12-07,599.725815698497,71765929.091989,,,56.0
2020-12-19,663.3831029006108,63928413.26232761,39.59911,,39.59911
2020-12-31,754.3324334312388,76795994.117918,,,39.59911
2021-01-12,1144.5605850231673,115187055.643697,86.0,,86.0
2021-01-24,1394.997314138889,152339112.699035,,,86.0
2021-02-05,1743.861158168824,158337374.56688,201.0,,201.0
2021-02-17,1852.6174678537388,177203488.215652,,,201.0
2021-03-01,1567.1674486622032,134541910.94116,,,201.0
2021-03-13,1934.5467990798768,143838171.005386,,,201.0
2021-03-25,1587.5797775595468,120151698.622547,,,201.0
2021-04-06,2126.998215095195,152737358.231877,,,201.0
2021-04-18,2290.804670479978,155437494.654806,,,201.0
2021-04-30,2784.5002420735927,209839681.908034,,,201.0
2021-05-12,4208.339394661302,185271836.515815,,,201.0
2021-05-24,2641.2131922797507,151643480.3267,,,201.0
2021-06-05,2813.928397737062,139262659.871395,,,201.0
2021-06-17,2372.0665641765713,130323137.059515,,,201.0
2021-06-29,2228.7113464689237,154359217.270303,,,201.0
2021-07-11,2167.0473917184745,147132334.464671,,,201.0
2021-07-23,2121.807116673068,137526759.496025,,,201.0
2021-08-04,2724.8662076278606,147324272.01191,,,201.0
2021-08-16,3324.8420175757574,155746669.832144,,46.091136907,46.091136907
2021-08-28,3272.41050889701,118843263.744068,,78.453825332,78.453825332
2021-09-09,3541.086619207691,107737036.048273,,126.831644394,126.831644394
2021-09-21,3087.0545298743623,99921076.904365,,103.030649951,103.030649951
