Equation,Outcome (full),Horizon (days),Regressor,N,Date clusters,Beta,SE (cluster-by-date),p (cluster-by-date),SE (Driscoll-Kraay),p (Driscoll-Kraay),SE (month block bootstrap),Predicted sign (P1),Sign check
outcome=S,"Delta VehicleShare_{k,t+tau} (indirect-route volume share through k)",1,L,9410,1882,0.02227714332596027,0.0015068931979818373,7.188605528045036e-47,0.0015313906865062597,1.6387935557605878e-45,0.002442265387397424,+,"MATCH (p<.05, DK)"
outcome=S,"Delta VehicleShare_{k,t+tau} (indirect-route volume share through k)",1,D,9410,1882,-0.00602352927578652,0.003495873044895893,0.08504563209131744,0.0036025679457789245,0.09468868651501809,0.005069889517979043,-,sign matches but not sig. (DK p=0.095)
outcome=S,"Delta VehicleShare_{k,t+tau} (indirect-route volume share through k)",1,S,9410,1882,-0.39081741297015893,0.01801587769665613,2.5780099010225292e-93,0.019145672601414893,8.008953844235051e-84,0.02528454600297878,(no prior),n/a (no P1 prior)
outcome=S,"Delta VehicleShare_{k,t+tau} (indirect-route volume share through k)",7,L,9380,1876,0.026109412320146987,0.0016074552931288355,1.310765318691042e-55,0.002277070693680028,1.8243630612374868e-29,0.002957643495541324,+,"MATCH (p<.05, DK)"
outcome=S,"Delta VehicleShare_{k,t+tau} (indirect-route volume share through k)",7,D,9380,1876,-0.005715895880313283,0.003645679516187619,0.11708377516647532,0.004854493006330073,0.2391675880412573,0.006664776962654365,-,sign matches but not sig. (DK p=0.239)
outcome=S,"Delta VehicleShare_{k,t+tau} (indirect-route volume share through k)",7,S,9380,1876,-0.5120136480444335,0.01799171732732005,2.2259773596416226e-148,0.021339943532165964,3.653400414153e-111,0.027182896250995958,(no prior),n/a (no P1 prior)
outcome=S,"Delta VehicleShare_{k,t+tau} (indirect-route volume share through k)",14,L,9345,1869,0.026974953457735987,0.001718102042912538,2.8342873019635997e-52,0.0029536040177311593,1.6835657983237794e-19,0.003233125532692299,+,"MATCH (p<.05, DK)"
outcome=S,"Delta VehicleShare_{k,t+tau} (indirect-route volume share through k)",14,D,9345,1869,-0.012211363093195506,0.0037339993017457317,0.0010938134039713394,0.006494433523391768,0.06022520908734311,0.008377424710142191,-,sign matches but not sig. (DK p=0.060)
outcome=S,"Delta VehicleShare_{k,t+tau} (indirect-route volume share through k)",14,S,9345,1869,-0.5696597309854823,0.01762166001050891,1.7918247518299265e-182,0.027966679497370098,1.8779523670449483e-83,0.034148181380961436,(no prior),n/a (no P1 prior)
outcome=S,"Delta VehicleShare_{k,t+tau} (indirect-route volume share through k)",30,L,9265,1853,0.026950837556487285,0.001624835838688382,1.0242157683014626e-57,0.003581601653484914,8.19112295789056e-14,0.003963582868664876,+,"MATCH (p<.05, DK)"
outcome=S,"Delta VehicleShare_{k,t+tau} (indirect-route volume share through k)",30,D,9265,1853,-0.012937931495163093,0.0041217396935962795,0.0017222748990484895,0.008395693009084142,0.12348273500438645,0.008569082326814236,-,sign matches but not sig. (DK p=0.123)
outcome=S,"Delta VehicleShare_{k,t+tau} (indirect-route volume share through k)",30,S,9265,1853,-0.640679632683441,0.01571227961154412,5.997105632370224e-260,0.028668086309855734,3.834956318362202e-98,0.029078791707482007,(no prior),n/a (no P1 prior)
outcome=L,"Delta LogVehicleLiquidity_{k,t+tau} (L_{k,t})",1,S,9410,1882,0.018858817005486292,0.009108862526389426,0.03855283238207516,0.009457058859543633,0.046279534703200516,0.00943926015822872,+,"MATCH (p<.05, DK)"
outcome=L,"Delta LogVehicleLiquidity_{k,t+tau} (L_{k,t})",1,D,9410,1882,-0.0010823308204540338,0.0028994035969407664,0.7089714860531151,0.002516532633159944,0.6671807996252506,0.0023015745075883965,(no prior),n/a (no P1 prior)
outcome=L,"Delta LogVehicleLiquidity_{k,t+tau} (L_{k,t})",1,L,9410,1882,-0.008961965949315559,0.002922520253008104,0.002196500725160237,0.0031005379337728026,0.003890953051930156,0.003250645882635474,(no prior),n/a (no P1 prior)
outcome=L,"Delta LogVehicleLiquidity_{k,t+tau} (L_{k,t})",7,S,9380,1876,0.03767081597055792,0.011408784951982475,0.0009783183553289398,0.01464481419903203,0.010178963787583605,0.013017054823014481,+,"MATCH (p<.05, DK)"
outcome=L,"Delta LogVehicleLiquidity_{k,t+tau} (L_{k,t})",7,D,9380,1876,-0.012127361613216068,0.005049725278013784,0.016420855057203077,0.006946526938245346,0.08100661993200649,0.007552747034286459,(no prior),n/a (no P1 prior)
outcome=L,"Delta LogVehicleLiquidity_{k,t+tau} (L_{k,t})",7,L,9380,1876,-0.018510860048962574,0.004182293269385494,1.0151377856329767e-05,0.007650580667357997,0.01563487941874452,0.009198266934474938,(no prior),n/a (no P1 prior)
outcome=L,"Delta LogVehicleLiquidity_{k,t+tau} (L_{k,t})",14,S,9345,1869,0.04825433293300691,0.014809259188625027,0.001140575583061303,0.0246579936644195,0.050502717448499795,0.027625205866851035,+,sign matches but not sig. (DK p=0.051)
outcome=L,"Delta LogVehicleLiquidity_{k,t+tau} (L_{k,t})",14,D,9345,1869,-0.019752258571365828,0.006632070898230416,0.0029359107109612386,0.012385719501596877,0.11093492475561144,0.013827030060059118,(no prior),n/a (no P1 prior)
outcome=L,"Delta LogVehicleLiquidity_{k,t+tau} (L_{k,t})",14,L,9345,1869,-0.026772894413159897,0.005354849741753079,6.277625143446907e-07,0.014435150609554788,0.06379635495696379,0.015021524040831806,(no prior),n/a (no P1 prior)
outcome=L,"Delta LogVehicleLiquidity_{k,t+tau} (L_{k,t})",30,S,9265,1853,0.08424274417574565,0.015351283883633092,4.63384118386568e-08,0.034366626640410756,0.01432614942106114,0.0350376816130792,+,"MATCH (p<.05, DK)"
outcome=L,"Delta LogVehicleLiquidity_{k,t+tau} (L_{k,t})",30,D,9265,1853,-0.04009951383217915,0.008995719037863798,8.783682686706642e-06,0.024688338890662728,0.10449712985008884,0.023270375425551784,(no prior),n/a (no P1 prior)
outcome=L,"Delta LogVehicleLiquidity_{k,t+tau} (L_{k,t})",30,L,9265,1853,-0.04219482956163182,0.006468771183312801,8.874803165815119e-11,0.026859202164881035,0.11636191719260619,0.025755082751541446,(no prior),n/a (no P1 prior)
outcome=D,"Delta DirectCostAdvantage_{k,t+tau}",1,L,9410,1882,0.011131316832417564,0.005767113311125972,0.05374009244732786,0.005392456417111471,0.03913192996283022,0.008025006938698127,-,"WRONG SIGN (predicted -, got +)"
outcome=D,"Delta DirectCostAdvantage_{k,t+tau}",1,S,9410,1882,-0.0395933749384562,0.015743047288802787,0.011986856011502432,0.015773372060121846,0.012151679873317429,0.02161432595987458,(no prior),n/a (no P1 prior)
outcome=D,"Delta DirectCostAdvantage_{k,t+tau}",1,D,9410,1882,-0.4923087716120581,0.016166301656174213,6.251133638418605e-166,0.020855892937801192,4.045858548021752e-108,0.03220350371023917,(no prior),n/a (no P1 prior)
outcome=D,"Delta DirectCostAdvantage_{k,t+tau}",7,L,9380,1876,0.016238709673294854,0.0059990784223883185,0.006853749694237558,0.00854122987244397,0.057427108955906005,0.010354118431297256,-,"WRONG SIGN (predicted -, got +)"
outcome=D,"Delta DirectCostAdvantage_{k,t+tau}",7,S,9380,1876,-0.05368667587641387,0.01757653848076244,0.002286470956966024,0.024095370252440223,0.0259926591959272,0.031083518443704224,(no prior),n/a (no P1 prior)
outcome=D,"Delta DirectCostAdvantage_{k,t+tau}",7,D,9380,1876,-0.600209266907725,0.01636877062558151,2.1718570798886512e-222,0.02503092000580035,4.768822600100894e-111,0.038981363765487886,(no prior),n/a (no P1 prior)
outcome=D,"Delta DirectCostAdvantage_{k,t+tau}",14,L,9345,1869,0.01679158786477133,0.00636042922274569,0.008359397518452607,0.011342129314533012,0.13891871353001103,0.013115608405531309,-,"WRONG SIGN (predicted -, got +)"
outcome=D,"Delta DirectCostAdvantage_{k,t+tau}",14,S,9345,1869,-0.02868494087867048,0.017362583685078117,0.09867968999586776,0.03150304100936712,0.3626525639020251,0.03754183815522628,(no prior),n/a (no P1 prior)
outcome=D,"Delta DirectCostAdvantage_{k,t+tau}",14,D,9345,1869,-0.68145946905881,0.016238148776205375,1.0624578667789599e-271,0.03070268848739294,4.5945333261900606e-97,0.03805288173232064,(no prior),n/a (no P1 prior)
outcome=D,"Delta DirectCostAdvantage_{k,t+tau}",30,L,9265,1853,0.024402490419220026,0.006196933153833719,8.526515818234154e-05,0.015406202078954517,0.1133782439461613,0.01561512714341908,-,"WRONG SIGN (predicted -, got +)"
