Variant,N core rows,Equation,Horizon (days),Regressor,N,Date clusters,Beta,SE (cluster-by-date),p (cluster-by-date),SE (Driscoll-Kraay),p (Driscoll-Kraay),SE (month block bootstrap),Predicted sign (P1),Sign check
alt_depth_lp_concentration,9415,outcome=S,1,L,9410,1882,0.20438655900167246,0.01845836619843107,1.1903323859498103e-27,0.017476173372702252,1.4980313637805688e-30,0.028511408791435468,+,"MATCH (p<.05, DK)"
alt_depth_lp_concentration,9415,outcome=S,1,D,9410,1882,-0.005764017700644508,0.0034957309398978647,0.09934056399840292,0.0036864765421235016,0.11808975692674487,0.0052339100164593795,-,sign matches but not sig. (DK p=0.118)
alt_depth_lp_concentration,9415,outcome=S,1,S,9410,1882,-0.414057215602388,0.018532672354461037,2.92836424235318e-98,0.020119623976984295,4.8530759028030804e-85,0.026395050468371775,(no prior),n/a (no P1 prior)
alt_depth_lp_concentration,9415,outcome=S,7,L,9380,1876,0.22720214382502837,0.019713511519542874,9.639041503992065e-30,0.028259814404574018,1.5780899683725407e-15,0.03524137754771723,+,"MATCH (p<.05, DK)"
alt_depth_lp_concentration,9415,outcome=S,7,D,9380,1876,-0.00513356306371612,0.0036469332030115774,0.15940394194090843,0.004989190816228969,0.30364198840025086,0.007066288213284088,-,sign matches but not sig. (DK p=0.304)
alt_depth_lp_concentration,9415,outcome=S,7,S,9380,1876,-0.5362915684054667,0.018560752324278423,3.735730029230553e-152,0.02263168361258563,8.404365392486621e-109,0.030037249602544763,(no prior),n/a (no P1 prior)
alt_depth_lp_concentration,9415,outcome=S,14,L,9345,1869,0.2281728915369381,0.020236841653483686,1.425380284473524e-28,0.03582531914934478,2.3885789799122393e-10,0.04299580865119529,+,"MATCH (p<.05, DK)"
alt_depth_lp_concentration,9415,outcome=S,14,D,9345,1869,-0.011442448003196562,0.003750978463962173,0.002316557266705661,0.00678021632095824,0.09165058917442638,0.008884853950302236,-,sign matches but not sig. (DK p=0.092)
alt_depth_lp_concentration,9415,outcome=S,14,S,9345,1869,-0.593235402740019,0.01809709844315685,1.4427296577063953e-186,0.029265751600897852,9.72679837365651e-83,0.037447795611760294,(no prior),n/a (no P1 prior)
alt_depth_lp_concentration,9415,outcome=S,30,L,9265,1853,0.22248926834149832,0.019985851212044835,6.564882424379619e-28,0.04616889379329098,1.5601201660703696e-06,0.05264178039569092,+,"MATCH (p<.05, DK)"
alt_depth_lp_concentration,9415,outcome=S,30,D,9265,1853,-0.01216655240187267,0.004147065401012566,0.0033898547687334106,0.008870997858788717,0.17038602299767633,0.008930365898297089,-,sign matches but not sig. (DK p=0.170)
alt_depth_lp_concentration,9415,outcome=S,30,S,9265,1853,-0.6633928796627906,0.016179598165553036,4.6418148277316446e-262,0.030694516586867816,1.455157637742232e-92,0.03169301311739362,(no prior),n/a (no P1 prior)
alt_depth_lp_concentration,9415,outcome=L,1,S,9410,1882,0.007552430872427424,0.002910546060585988,0.009536762466147342,0.0032406487787425354,0.01988337529418031,0.003465629887852927,+,"MATCH (p<.05, DK)"
alt_depth_lp_concentration,9415,outcome=L,1,D,9410,1882,0.00026626691712904103,0.00042716277995357305,0.5331378128550252,0.00038146818469276617,0.48525998615199123,0.0004355336100789758,(no prior),n/a (no P1 prior)
alt_depth_lp_concentration,9415,outcome=L,1,L,9410,1882,-0.019120936978112152,0.006720077388615264,0.00448437804220565,0.007339037901684083,0.009249769741159992,0.008713247845960762,(no prior),n/a (no P1 prior)
alt_depth_lp_concentration,9415,outcome=L,7,S,9380,1876,0.014118368964323145,0.0036327115502290583,0.00010525604710806575,0.004335343039755231,0.001147773480302515,0.004176219208356849,+,"MATCH (p<.05, DK)"
alt_depth_lp_concentration,9415,outcome=L,7,D,9380,1876,-0.0011264651230218977,0.000662911744791183,0.08943446083460836,0.0009072112820092867,0.21451035129485854,0.0009170857973877791,(no prior),n/a (no P1 prior)
alt_depth_lp_concentration,9415,outcome=L,7,L,9380,1876,-0.0398994450712856,0.008338856980902034,1.8457675172131444e-06,0.01268629529849311,0.0016864373176313997,0.016296119581753282,(no prior),n/a (no P1 prior)
alt_depth_lp_concentration,9415,outcome=L,14,S,9345,1869,0.018095745828513636,0.004531826987072545,6.775884569219379e-05,0.007084441125737184,0.010719063565088182,0.007511411157776667,+,"MATCH (p<.05, DK)"
alt_depth_lp_concentration,9415,outcome=L,14,D,9345,1869,-0.0020341859391769614,0.0008673854288429391,0.019121404643585745,0.001530094732064876,0.1838615586335657,0.001635564931493571,(no prior),n/a (no P1 prior)
alt_depth_lp_concentration,9415,outcome=L,14,L,9345,1869,-0.0601670244739438,0.009601055431457454,4.5668233202439753e-10,0.021543266854523513,0.005277909591132934,0.02367312550938705,(no prior),n/a (no P1 prior)
alt_depth_lp_concentration,9415,outcome=L,30,S,9265,1853,0.031528789098710173,0.004468368011738984,2.4121492722478243e-12,0.009152496148704831,0.0005841555380916594,0.009131413802603286,+,"MATCH (p<.05, DK)"
alt_depth_lp_concentration,9415,outcome=L,30,D,9265,1853,-0.004184276907526119,0.0010569994096336856,7.822691156938186e-05,0.002783823862902001,0.13299196934600493,0.002793649383964827,(no prior),n/a (no P1 prior)
alt_depth_lp_concentration,9415,outcome=L,30,L,9265,1853,-0.09221787624917777,0.009391390974647236,3.204503703361793e-22,0.036656578402368085,0.011962769186041517,0.03584642241255497,(no prior),n/a (no P1 prior)
alt_depth_lp_concentration,9415,outcome=D,1,L,9410,1882,0.05165454261473111,0.024777477172624147,0.037227693454692665,0.020701402175868962,0.012673051963703615,0.02741780178331141,-,"WRONG SIGN (predicted -, got +)"
alt_depth_lp_concentration,9415,outcome=D,1,S,9410,1882,-0.03863949231681448,0.01652821906164263,0.019502534263066484,0.016292279785423996,0.01780929816242881,0.020420860213086815,(no prior),n/a (no P1 prior)
alt_depth_lp_concentration,9415,outcome=D,1,D,9410,1882,-0.4915886727966957,0.016177095886982865,2.3478730348303685e-165,0.02077682014668855,1.4776079505729075e-108,0.03260719056470496,(no prior),n/a (no P1 prior)
alt_depth_lp_concentration,9415,outcome=D,7,L,9380,1876,0.07810684253002503,0.026259312125126385,0.0029726913652492787,0.03385661429397503,0.02116392479337388,0.03367255450951564,-,"WRONG SIGN (predicted -, got +)"
alt_depth_lp_concentration,9415,outcome=D,7,S,9380,1876,-0.053030970191891444,0.018589603147542207,0.0043821868504424705,0.025173539908693126,0.035283476301073945,0.03151746304834886,(no prior),n/a (no P1 prior)
alt_depth_lp_concentration,9415,outcome=D,7,D,9380,1876,-0.5990920935113228,0.01632482490276643,1.1371840196886042e-222,0.024704369527733628,3.180745157523827e-113,0.03843333003713236,(no prior),n/a (no P1 prior)
alt_depth_lp_concentration,9415,outcome=D,14,L,9345,1869,0.06699896005656966,0.02731727422111638,0.014272790668955745,0.042615954104535676,0.1160835519569891,0.04675400818792747,-,"WRONG SIGN (predicted -, got +)"
alt_depth_lp_concentration,9415,outcome=D,14,S,9345,1869,-0.024654764047854924,0.01836123874322041,0.1795123567202241,0.03314822525434815,0.4571071913802314,0.037747718090798736,(no prior),n/a (no P1 prior)
alt_depth_lp_concentration,9415,outcome=D,14,D,9345,1869,-0.6800832420958061,0.016142387984114836,3.087893148671339e-273,0.02998451064534127,8.444740611530915e-101,0.0370399365522858,(no prior),n/a (no P1 prior)
alt_depth_lp_concentration,9415,outcome=D,30,L,9265,1853,0.0922670582792077,0.02607456127060771,0.00041219655161309383,0.055263246129129556,0.09516916820178654,0.06127301055246849,-,"WRONG SIGN (predicted -, got +)"
alt_depth_lp_concentration,9415,outcome=D,30,S,9265,1853,-0.04648355980540482,0.02060121970413924,0.02416490383449173,0.04594041092164335,0.31175490981179155,0.04314901703661382,(no prior),n/a (no P1 prior)
alt_depth_lp_concentration,9415,outcome=D,30,D,9265,1853,-0.7103107246326673,0.015559907130827022,1.68971051325587e-305,0.0344508972568604,3.391743402912533e-85,0.034527590414535576,(no prior),n/a (no P1 prior)
alt_D_winsor_mean,9415,outcome=S,1,L,9410,1882,0.023616041116086627,0.0015499408414867387,1.6088912056950965e-49,0.001592126542962757,3.716240158047352e-47,0.002556608064821525,+,"MATCH (p<.05, DK)"
alt_D_winsor_mean,9415,outcome=S,1,D,9410,1882,-0.04476410671691384,0.00836018377813719,9.633954903421116e-08,0.008522614489808442,1.6715148567195118e-07,0.012875438708317845,-,"MATCH (p<.05, DK)"
alt_D_winsor_mean,9415,outcome=S,1,S,9410,1882,-0.3971035139246053,0.018086653248044003,2.6337506063649583e-95,0.019373588927125932,1.9468215031525981e-84,0.02528314630401216,(no prior),n/a (no P1 prior)
alt_D_winsor_mean,9415,outcome=S,7,L,9380,1876,0.02762245128654713,0.0016550693398999536,2.0664960839096222e-58,0.0023518632620595885,8.729698633535853e-31,0.003184121761154162,+,"MATCH (p<.05, DK)"
alt_D_winsor_mean,9415,outcome=S,7,D,9380,1876,-0.04951320943865848,0.009436538324400215,1.721310722283177e-07,0.013556210393941129,0.00026689331284469593,0.018198898659112166,-,"MATCH (p<.05, DK)"
alt_D_winsor_mean,9415,outcome=S,7,S,9380,1876,-0.5190403262044938,0.01811016172552567,3.986115132649424e-150,0.021460440840638112,1.0482674903042507e-112,0.027052377876466607,(no prior),n/a (no P1 prior)
alt_D_winsor_mean,9415,outcome=S,14,L,9345,1869,0.02844756414067221,0.0017637626133671317,6.830258727541278e-55,0.00303532764826709,1.979003458199046e-20,0.0033557426911518377,+,"MATCH (p<.05, DK)"
alt_D_winsor_mean,9415,outcome=S,14,D,9345,1869,-0.053220637951699,0.009570956252754035,3.075342767534283e-08,0.016971197723964628,0.0017397245807431283,0.020818326385133774,-,"MATCH (p<.05, DK)"
alt_D_winsor_mean,9415,outcome=S,14,S,9345,1869,-0.5768328240072144,0.017732306585201967,2.655406590601431e-184,0.027785216095527917,2.619281314707829e-86,0.033801626612340124,(no prior),n/a (no P1 prior)
alt_D_winsor_mean,9415,outcome=S,30,L,9265,1853,0.02898719932423891,0.0016803859386636262,5.93322618875831e-62,0.0037526129569783427,1.8256054198353354e-14,0.0040565429223970734,+,"MATCH (p<.05, DK)"
alt_D_winsor_mean,9415,outcome=S,30,D,9265,1853,-0.07533611920192901,0.010229875856915831,2.666169303519246e-13,0.023820917752226774,0.001588992518571758,0.023844796344097707,-,"MATCH (p<.05, DK)"
alt_D_winsor_mean,9415,outcome=S,30,S,9265,1853,-0.6506238072825352,0.015686538303449998,1.704478355545988e-266,0.027768949661759378,1.537245555812787e-106,0.02712740370149522,(no prior),n/a (no P1 prior)
alt_D_winsor_mean,9415,outcome=L,1,S,9410,1882,0.01939882378213528,0.009163472690530652,0.03439310205831523,0.009930302637541081,0.05090869932990918,0.00996786278758684,+,sign matches but not sig. (DK p=0.051)
