Depth regime,Equation,Horizon (days),Regressor,N,Date clusters,Beta,SE (cluster-by-date),p (cluster-by-date),SE (Driscoll-Kraay),p (Driscoll-Kraay),SE (month block bootstrap),Predicted sign (P1),Sign check
high,outcome=S,1,L,4709,1805,0.06123457141140556,0.004165080552340261,2.674626421752098e-46,0.005191988876044815,5.573008168989218e-31,0.006500899785142022,+,"MATCH (p<.05, DK)"
high,outcome=S,1,D,4709,1805,-0.020314059514336097,0.00742421422192086,0.006276438724681731,0.006529749137988891,0.0018937349479462649,0.007592507763953888,-,"MATCH (p<.05, DK)"
high,outcome=S,1,S,4709,1805,-0.40067119714795874,0.024357319812250713,9.252712548008987e-57,0.027065761327374968,6.966761111110793e-47,0.03153553694244082,(no prior),n/a (no P1 prior)
high,outcome=S,7,L,4703,1799,0.07914443236744072,0.004074449261498274,1.89428467140031e-76,0.005933057245359588,8.898876385022078e-39,0.0064631705813293664,+,"MATCH (p<.05, DK)"
high,outcome=S,7,D,4703,1799,-0.012350905166296399,0.007276914553130041,0.08981826265890774,0.008479017136596202,0.14538941750320525,0.009007037045784342,-,sign matches but not sig. (DK p=0.145)
high,outcome=S,7,S,4703,1799,-0.5177726943767317,0.023044715767758198,9.718069718165232e-99,0.029701520903167224,5.272081014125897e-63,0.035426936504060515,(no prior),n/a (no P1 prior)
high,outcome=S,14,L,4696,1792,0.0839682960589024,0.00410531465977939,9.86779864455006e-84,0.00720230112784616,2.508137340062678e-30,0.007714981340805811,+,"MATCH (p<.05, DK)"
high,outcome=S,14,D,4696,1792,-0.03326759241343862,0.007859230391501187,2.423442515419251e-05,0.011534268538967893,0.003970490775964124,0.0133563819370528,-,"MATCH (p<.05, DK)"
high,outcome=S,14,S,4696,1792,-0.5686553804532701,0.023085780655884396,1.2760274086440907e-115,0.03317300074091911,4.116723297078976e-61,0.0357982748496185,(no prior),n/a (no P1 prior)
high,outcome=S,30,L,4675,1776,0.09204254773514112,0.004115396283128073,8.166121728539596e-98,0.009558740153694623,1.9907842109507556e-21,0.008659557301768222,+,"MATCH (p<.05, DK)"
high,outcome=S,30,D,4675,1776,-0.03765688258253615,0.008733929884826172,1.710047716056753e-05,0.014159553710089604,0.00789680275110081,0.015098558861101057,-,"MATCH (p<.05, DK)"
high,outcome=S,30,S,4675,1776,-0.6455239124782531,0.022394312861319834,3.356488417385982e-150,0.04041105121894658,9.017084017731697e-54,0.04033683530632454,(no prior),n/a (no P1 prior)
high,outcome=L,1,S,4709,1805,0.043899853834202265,0.019733548476591707,0.026229353360077295,0.019615744108150385,0.02534326580945099,0.01987555756356695,+,"MATCH (p<.05, DK)"
high,outcome=L,1,D,4709,1805,-0.0011096195244685626,0.003706474477918233,0.7646897118562349,0.003385611929532585,0.7431420279458733,0.003586530664650578,(no prior),n/a (no P1 prior)
high,outcome=L,1,L,4709,1805,-0.014291561503409139,0.006178821327215008,0.020835105798945076,0.006213833217702087,0.021564223487814064,0.0068167575897870964,(no prior),n/a (no P1 prior)
high,outcome=L,7,S,4703,1799,0.0760151683491934,0.022240101866297303,0.0006450563507754621,0.02684864570587707,0.004688273829386101,0.026499998001876544,+,"MATCH (p<.05, DK)"
high,outcome=L,7,D,4703,1799,-0.017595612190923815,0.005675407696210686,0.00196306668419811,0.008100134180563575,0.029966200225961172,0.00825924870035797,(no prior),n/a (no P1 prior)
high,outcome=L,7,L,4703,1799,-0.02372698354051544,0.006624402867456495,0.00035037114171162755,0.007953701629447257,0.0028915132071706193,0.008756285403317769,(no prior),n/a (no P1 prior)
high,outcome=L,14,S,4696,1792,0.10889559687272016,0.02530747655077918,1.776742252503699e-05,0.03882419574766963,0.005088539577282161,0.03480285641550063,+,"MATCH (p<.05, DK)"
high,outcome=L,14,D,4696,1792,-0.0329651566345886,0.007223005619503226,5.36229523752771e-06,0.014501553134512023,0.02313115516845818,0.01608999462207963,(no prior),n/a (no P1 prior)
high,outcome=L,14,L,4696,1792,-0.03240533537093512,0.007282189651278252,9.11797482625771e-06,0.011600620272678604,0.00527097974111563,0.012014413509115198,(no prior),n/a (no P1 prior)
high,outcome=L,30,S,4675,1776,0.14085376665466354,0.025611554791009027,4.359495182111431e-08,0.05489328731443436,0.010370618035594335,0.05597236932436646,+,"MATCH (p<.05, DK)"
high,outcome=L,30,D,4675,1776,-0.05396442947107156,0.010028737521024851,8.392832314982962e-08,0.027186355363576872,0.047300166766031985,0.02733745443735208,(no prior),n/a (no P1 prior)
high,outcome=L,30,L,4675,1776,-0.039217503171125496,0.00736387312967871,1.1340167296224769e-07,0.02161413859441406,0.06977914880424112,0.020284174605058113,(no prior),n/a (no P1 prior)
high,outcome=D,1,L,4709,1805,-0.024472189304261253,0.006179435262422748,7.777697535442915e-05,0.005759668983878943,2.2579241477560304e-05,0.00972901691437651,-,"MATCH (p<.05, DK)"
high,outcome=D,1,S,4709,1805,-0.10404601165994914,0.02746689824539128,0.00015681131634223008,0.025380505569650276,4.325272328873931e-05,0.02755618638455186,(no prior),n/a (no P1 prior)
high,outcome=D,1,D,4709,1805,-0.4485768978603483,0.023148250902114566,3.7814211319793646e-76,0.028158181852361554,1.462996665378751e-53,0.04209650535127409,(no prior),n/a (no P1 prior)
high,outcome=D,7,L,4703,1799,-0.02438516637929979,0.007302449571533624,0.000857022090844251,0.009243595680228834,0.008410085460017539,0.013738117782015563,-,"MATCH (p<.05, DK)"
high,outcome=D,7,S,4703,1799,-0.12722256743217317,0.03425256547829993,0.0002100279682381326,0.04171232222415037,0.002321838779859752,0.04196964636545859,(no prior),n/a (no P1 prior)
high,outcome=D,7,D,4703,1799,-0.5401000388153341,0.02338694607904302,1.4894546476135114e-103,0.03324687564912813,1.769210091489802e-55,0.04998237358504589,(no prior),n/a (no P1 prior)
high,outcome=D,14,L,4696,1792,-0.03722746540110718,0.007649456273396648,1.234430170355837e-06,0.011888809821834507,0.0017684415200144245,0.017479779809416313,-,"MATCH (p<.05, DK)"
high,outcome=D,14,S,4696,1792,-0.09045080029194197,0.03451995847268759,0.008860885801805498,0.05283970424176735,0.08710737208757187,0.05395942184437723,(no prior),n/a (no P1 prior)
high,outcome=D,14,D,4696,1792,-0.6220727137006138,0.022445343651346466,5.467979795253518e-141,0.03941395008372557,1.2120337123492652e-52,0.04864022814560201,(no prior),n/a (no P1 prior)
high,outcome=D,30,L,4675,1776,-0.02363204417883136,0.007680695840416059,0.0021242529592714336,0.013664843387427714,0.08391054780296636,0.018141855819794227,-,sign matches but not sig. (DK p=0.084)
high,outcome=D,30,S,4675,1776,-0.157093042046595,0.03746490027139216,2.887579236287116e-05,0.07144072972046635,0.028011622339628076,0.06881768642599022,(no prior),n/a (no P1 prior)
high,outcome=D,30,D,4675,1776,-0.6488563113107105,0.022752505073302235,1.3950659929794626e-147,0.04532689624956156,4.533244613205716e-44,0.04315001889881661,(no prior),n/a (no P1 prior)
low,outcome=S,1,L,4701,1795,0.041613239638565266,0.0022772224612505046,1.5041513625178177e-68,0.002499229997043641,5.3799482636487504e-58,0.0037849350265668495,+,"MATCH (p<.05, DK)"
low,outcome=S,1,D,4701,1795,0.0183543959504787,0.005338210156089791,0.0005987435008838417,0.005465267474880851,0.0008004372895171777,0.008567236332890867,-,"WRONG SIGN (predicted -, got +)"
low,outcome=S,1,S,4701,1795,-0.37764499366567583,0.020358497914194418,2.0665375461249754e-70,0.023294470936689952,2.8931771030719098e-55,0.0329490428776875,(no prior),n/a (no P1 prior)
low,outcome=S,7,L,4677,1789,0.05547882401060513,0.0026758732493251704,9.617696843740752e-86,0.003406765809890227,1.0518041449091831e-55,0.0041746158037219505,+,"MATCH (p<.05, DK)"
low,outcome=S,7,D,4677,1789,0.012115794646292699,0.006732374445208194,0.07208733874461835,0.008676460468149147,0.16276790853328107,0.011436781773787003,-,"WRONG SIGN (predicted -, got +)"
low,outcome=S,7,S,4677,1789,-0.5246338832070994,0.023172228163845853,5.392487744690346e-100,0.030090897856708355,5.390226043508236e-63,0.030625312419619806,(no prior),n/a (no P1 prior)
