Period,Equation,Horizon (days),Regressor,N,Date clusters,Beta,SE (cluster-by-date),p (cluster-by-date),SE (Driscoll-Kraay),p (Driscoll-Kraay),SE (month block bootstrap),Predicted sign (P1),Sign check
pre,outcome=S,1,L,4705,941,0.025007670279197952,0.0031801157235364793,1.0195264329068656e-14,0.0028614567698523586,1.0611791094568295e-17,0.004636482010956982,+,"MATCH (p<.05, DK)"
pre,outcome=S,1,D,4705,941,-0.00446101716993494,0.003976760895318901,0.2622460612455979,0.0042790383091171735,0.2974350034789081,0.006448702135337374,-,sign matches but not sig. (DK p=0.297)
pre,outcome=S,1,S,4705,941,-0.4260967138675833,0.021694494744294093,3.1173653889985543e-72,0.024732730737662,5.153762058569905e-58,0.04069246760585077,(no prior),n/a (no P1 prior)
pre,outcome=S,7,L,4705,941,0.022775231451867026,0.003533337095012999,1.8349737755522476e-10,0.005509980792096828,3.892695589443043e-05,0.007093100800626342,+,"MATCH (p<.05, DK)"
pre,outcome=S,7,D,4705,941,0.001749816988950313,0.004641672462298165,0.7062736648495038,0.005624322721701123,0.7557813901969376,0.006969265330245825,-,"WRONG SIGN (predicted -, got +)"
pre,outcome=S,7,S,4705,941,-0.5918041664265883,0.022965109238017443,3.3131804722523114e-111,0.03067179535154509,3.839310055528831e-70,0.03193005599449501,(no prior),n/a (no P1 prior)
pre,outcome=S,14,L,4705,941,0.02164686580876377,0.0037068841502254815,7.201450628976407e-09,0.007860878206492719,0.006005396471727556,0.009622443970207475,+,"MATCH (p<.05, DK)"
pre,outcome=S,14,D,4705,941,-0.0034331612754437894,0.0041588238529459065,0.4092901144709878,0.006697831367326004,0.6083669379725517,0.007893322531345582,-,sign matches but not sig. (DK p=0.608)
pre,outcome=S,14,S,4705,941,-0.6899957893327211,0.02478915422744806,7.607773030234881e-125,0.040403092155889726,3.693735689266452e-57,0.04557371657512591,(no prior),n/a (no P1 prior)
pre,outcome=S,30,L,4705,941,0.02181621097839356,0.003431526872200818,3.192719151016946e-10,0.009465258964259276,0.021390855604346913,0.010051333274924449,+,"MATCH (p<.05, DK)"
pre,outcome=S,30,D,4705,941,-0.0025037449348011866,0.004778008844195124,0.6003921257285597,0.009459595854233912,0.7913157109975141,0.010224892244583469,-,sign matches but not sig. (DK p=0.791)
pre,outcome=S,30,S,4705,941,-0.7825367148885409,0.023035105272471247,1.1202137250692415e-165,0.042801219441942095,3.9975241750916455e-64,0.04057744916486129,(no prior),n/a (no P1 prior)
pre,outcome=L,1,S,4705,941,0.021376827307677104,0.01238647940002359,0.08470851693389096,0.012802735814072186,0.0953101423686573,0.015525393451425716,+,sign matches but not sig. (DK p=0.095)
pre,outcome=L,1,D,4705,941,-0.010885097589747329,0.004598397474166466,0.01812739323197587,0.004759490716313373,0.02241559107943555,0.003925860336645813,(no prior),n/a (no P1 prior)
pre,outcome=L,1,L,4705,941,-0.018019491051883677,0.007638093571020265,0.0185200258041788,0.008153764667847771,0.027348275522672515,0.009182688901103709,(no prior),n/a (no P1 prior)
pre,outcome=L,7,S,4705,941,0.03660305021900859,0.01778805214825507,0.039891145300829316,0.026179770800019,0.16240007165248851,0.019373087459888232,+,sign matches but not sig. (DK p=0.162)
pre,outcome=L,7,D,4705,941,-0.02298355804169037,0.009497485516803838,0.015710870100407996,0.013776071963242794,0.09557571834175038,0.0165137358350709,(no prior),n/a (no P1 prior)
pre,outcome=L,7,L,4705,941,-0.05374423032346075,0.01022020034239939,1.7972443285868135e-07,0.019068527024254208,0.004926460538258926,0.024416152228012373,(no prior),n/a (no P1 prior)
pre,outcome=L,14,S,4705,941,0.0455999468586152,0.02240290264601279,0.04208585318422174,0.04085696865813311,0.2646699564627226,0.047199582898135334,+,sign matches but not sig. (DK p=0.265)
pre,outcome=L,14,D,4705,941,-0.06025646959973627,0.013671202410652256,1.1659342384747308e-05,0.026622908363107545,0.023842590976475973,0.030526243531552758,(no prior),n/a (no P1 prior)
pre,outcome=L,14,L,4705,941,-0.09039912467508636,0.012699936758801655,2.1715165712189425e-12,0.03263851434083777,0.005721198569637866,0.037728931968021594,(no prior),n/a (no P1 prior)
pre,outcome=L,30,S,4705,941,0.06420538432830981,0.0257427626451854,0.012798028397446464,0.0489039841349239,0.18954159321050498,0.04837766768470359,+,sign matches but not sig. (DK p=0.190)
pre,outcome=L,30,D,4705,941,-0.1345022725582213,0.0191031130460312,3.685447098823514e-12,0.05328144555564398,0.011754130103658954,0.05132567835459605,(no prior),n/a (no P1 prior)
pre,outcome=L,30,L,4705,941,-0.15236439434971666,0.013850691172064299,1.462121491110798e-26,0.051908090540581035,0.003413678332461343,0.055090581629196944,(no prior),n/a (no P1 prior)
pre,outcome=D,1,L,4705,941,0.01921031485869842,0.011672375463713396,0.10014065765430023,0.011229741549330442,0.08747309867661,0.013446319266688676,-,"WRONG SIGN (predicted -, got +)"
pre,outcome=D,1,S,4705,941,-0.025229675310104654,0.017730745728015543,0.15508716112482332,0.01711583238509432,0.1408016338746312,0.02329779341111705,(no prior),n/a (no P1 prior)
