Volatility regime,Equation,Horizon (days),Regressor,N,Date clusters,Beta,SE (cluster-by-date),p (cluster-by-date),SE (Driscoll-Kraay),p (Driscoll-Kraay),SE (month block bootstrap),Predicted sign (P1),Sign check
calm,outcome=S,1,L,4700,940,0.02502966796149057,0.0027912341984828084,1.6150558108853782e-18,0.00239756709758822,3.2568229155072122e-24,0.003441855641742162,+,"MATCH (p<.05, DK)"
calm,outcome=S,1,D,4700,940,-0.0054045905490722815,0.004328693045319279,0.21214083859816424,0.004911566387398751,0.2714484972706401,0.006850950235153128,-,sign matches but not sig. (DK p=0.271)
calm,outcome=S,1,S,4700,940,-0.4038778798087019,0.026574869815136425,8.398373962799386e-47,0.027880739025521184,4.539308260415691e-43,0.03243420274891705,(no prior),n/a (no P1 prior)
calm,outcome=S,7,L,4670,934,0.03352128289769308,0.002889256067867315,3.6237959137379307e-29,0.0036530902176417166,2.8010684906179075e-19,0.0043548111107322325,+,"MATCH (p<.05, DK)"
calm,outcome=S,7,D,4670,934,-0.008153562214854328,0.004843492075453044,0.09263110712921574,0.006581083695470751,0.21567962389479062,0.008278259417546133,-,sign matches but not sig. (DK p=0.216)
calm,outcome=S,7,S,4670,934,-0.518459403360901,0.027925626728142198,1.007072731685629e-65,0.03141893726012765,7.200179074426516e-54,0.039260001841125644,(no prior),n/a (no P1 prior)
calm,outcome=S,14,L,4635,927,0.031778400766544396,0.002715364342271533,1.3276225774089047e-29,0.003595805366954973,4.842780817543162e-18,0.00438813534333356,+,"MATCH (p<.05, DK)"
calm,outcome=S,14,D,4635,927,-0.015208462805825959,0.004749914828670386,0.0014120880802499479,0.007654871687110913,0.0472423288868816,0.008946226712878095,-,"MATCH (p<.05, DK)"
calm,outcome=S,14,S,4635,927,-0.532995727410302,0.02417567755000475,6.427584677539696e-87,0.03233148140968543,9.852956251276851e-54,0.03710616142114577,(no prior),n/a (no P1 prior)
calm,outcome=S,30,L,4555,911,0.027959164383875846,0.002848037432450966,1.0857859180115727e-21,0.005103653184090997,5.560170881879732e-08,0.00598753226449512,+,"MATCH (p<.05, DK)"
calm,outcome=S,30,D,4555,911,-0.010159957108581362,0.0056137542201474475,0.07065150243828963,0.008750518049202233,0.2459182271885654,0.010012965497300411,-,sign matches but not sig. (DK p=0.246)
calm,outcome=S,30,S,4555,911,-0.6276118444995655,0.02277680183829617,5.092385770878042e-122,0.03959968969706911,3.8569197810791023e-50,0.038990799884352244,(no prior),n/a (no P1 prior)
calm,outcome=L,1,S,4700,940,0.02371137658609782,0.016968637040292178,0.16263396569029764,0.01752246269980111,0.17631779000531855,0.01687160219046857,+,sign matches but not sig. (DK p=0.176)
calm,outcome=L,1,D,4700,940,0.000564643094392582,0.004438811540471594,0.898804656566921,0.0035807022156829783,0.8747345072252631,0.003694076163241054,(no prior),n/a (no P1 prior)
calm,outcome=L,1,L,4700,940,-0.015440201992684666,0.006286859336244194,0.014231528521056143,0.006394368087028236,0.015940318439325404,0.006743919490677378,(no prior),n/a (no P1 prior)
calm,outcome=L,7,S,4670,934,0.04705806752828444,0.020548224327772053,0.02223629653519985,0.02340717041543151,0.044674920277142316,0.02122004642595173,+,"MATCH (p<.05, DK)"
calm,outcome=L,7,D,4670,934,-0.016821135629506087,0.007543113411562586,0.025984743109125033,0.010569179856312826,0.11182974867763965,0.010526642514337402,(no prior),n/a (no P1 prior)
calm,outcome=L,7,L,4670,934,-0.03390324718112271,0.008865674118616235,0.00013996813637992965,0.015776261516455434,0.03189078555453044,0.01778306631032315,(no prior),n/a (no P1 prior)
calm,outcome=L,14,S,4635,927,0.0739441808188285,0.025724898285011226,0.004140347280757544,0.033507814823166525,0.027574569208240505,0.03201118872309276,+,"MATCH (p<.05, DK)"
calm,outcome=L,14,D,4635,927,-0.01563713672937237,0.00921477078807496,0.09003946612991057,0.015410479334532724,0.310510087222258,0.01731951518985568,(no prior),n/a (no P1 prior)
calm,outcome=L,14,L,4635,927,-0.03268879380484813,0.01122602152840286,0.0036788666334119217,0.0267573555244916,0.22214144806592565,0.02486052320065729,(no prior),n/a (no P1 prior)
calm,outcome=L,30,S,4555,911,0.11726419567413641,0.020443449803065103,1.3187770006507898e-08,0.03990496055391961,0.0033803968501424707,0.04124145835593733,+,"MATCH (p<.05, DK)"
calm,outcome=L,30,D,4555,911,-0.020601963731863706,0.010920420476487431,0.059538493519586254,0.02648865669878116,0.43690941657456056,0.02799134683515297,(no prior),n/a (no P1 prior)
calm,outcome=L,30,L,4555,911,-0.015691390456793294,0.011206560627207235,0.16179523560783993,0.038465948144417714,0.683421476388174,0.03809163016384819,(no prior),n/a (no P1 prior)
calm,outcome=D,1,L,4700,940,0.007106843290343139,0.009477369281353348,0.4535177630788579,0.008600786643794935,0.4088429593288771,0.012089630447024848,-,"WRONG SIGN (predicted -, got +)"
calm,outcome=D,1,S,4700,940,-0.05126925435711114,0.022699003150379222,0.02413347465873432,0.022370291423810838,0.022135115733577404,0.03058852873269564,(no prior),n/a (no P1 prior)
calm,outcome=D,1,D,4700,940,-0.43786163709059805,0.02266077887957547,2.6817025996301734e-70,0.028779010138462485,6.82904454483131e-47,0.04229844225852955,(no prior),n/a (no P1 prior)
calm,outcome=D,7,L,4670,934,0.02196035214879017,0.009989787133955423,0.028174084755644143,0.015596387018050299,0.15945204062551818,0.019140364602372933,-,"WRONG SIGN (predicted -, got +)"
calm,outcome=D,7,S,4670,934,-0.08120449668784337,0.02293422734960797,0.0004187080355436384,0.03285032975620007,0.013615153225599684,0.040132538643404755,(no prior),n/a (no P1 prior)
calm,outcome=D,7,D,4670,934,-0.5546241239904843,0.023522674062674425,8.575660335150753e-97,0.03590674751215743,4.2388156857926275e-48,0.051433436566041484,(no prior),n/a (no P1 prior)
calm,outcome=D,14,L,4635,927,0.023231488121234864,0.011020277783662996,0.035293345871132656,0.021581027349733557,0.2819941762334517,0.02324537983603478,-,"WRONG SIGN (predicted -, got +)"
calm,outcome=D,14,S,4635,927,-0.055580013925282626,0.025065679172564626,0.02683960226060631,0.04289358600492757,0.19537929737785056,0.04722295681624573,(no prior),n/a (no P1 prior)
calm,outcome=D,14,D,4635,927,-0.6445464997618972,0.02397103608996924,3.6760010744426747e-118,0.04667889918935015,1.4222437385218894e-39,0.05303961412482719,(no prior),n/a (no P1 prior)
calm,outcome=D,30,L,4555,911,0.034606220345429796,0.011674984804185055,0.0031145006885996704,0.03081625070473857,0.26173959366418165,0.03232329174449976,-,"WRONG SIGN (predicted -, got +)"
calm,outcome=D,30,S,4555,911,-0.12234312558726293,0.02703901524762451,6.8495180815366336e-06,0.0618379682568552,0.048179532229075936,0.0632658280478431,(no prior),n/a (no P1 prior)
calm,outcome=D,30,D,4555,911,-0.7317609272944892,0.022277765051737574,1.1122401504596264e-156,0.0521581966065601,1.2646527710602367e-40,0.05403821356978526,(no prior),n/a (no P1 prior)
high,outcome=S,1,L,4710,942,0.01995019311544033,0.0017828076061107189,2.228769846225417e-27,0.0019042280014094047,2.2782287914494505e-24,0.002897837710291469,+,"MATCH (p<.05, DK)"
high,outcome=S,1,D,4710,942,-0.006685572019844683,0.005568746880629986,0.23022703305862663,0.005599943220964082,0.23283194853761655,0.007391956025739883,-,sign matches but not sig. (DK p=0.233)
high,outcome=S,1,S,4710,942,-0.3957272066419996,0.024813523525743755,7.303691554992954e-51,0.026343339722413837,7.029118196341862e-46,0.0313891469710075,(no prior),n/a (no P1 prior)
high,outcome=S,7,L,4710,942,0.021185960898742567,0.0018998194137891885,3.2763277913029324e-27,0.0028148087936714136,1.2169929906286233e-13,0.003098055182266791,+,"MATCH (p<.05, DK)"
high,outcome=S,7,D,4710,942,-0.0031677551809851327,0.005386173223168073,0.5565880105528498,0.0069827652739950724,0.6501829152555779,0.010051489639494315,-,sign matches but not sig. (DK p=0.650)
high,outcome=S,7,S,4710,942,-0.5237131748382211,0.023773322518950077,4.639058219537949e-87,0.028746938963574442,9.424535849731778e-64,0.03074846738855414,(no prior),n/a (no P1 prior)
high,outcome=S,14,L,4710,942,0.02363248058532377,0.0021637471726775287,3.1434740157065565e-26,0.0037764430358377707,5.919919968649018e-10,0.0037726523091127207,+,"MATCH (p<.05, DK)"
high,outcome=S,14,D,4710,942,-0.00826218736154365,0.005633558512350002,0.14281849348484585,0.00954678259575476,0.3870167772129773,0.010914441643818378,-,sign matches but not sig. (DK p=0.387)
high,outcome=S,14,S,4710,942,-0.6214501081881599,0.02616822566886883,4.7104123131873395e-98,0.04409521271751908,4.5708988710620037e-41,0.050694273370272214,(no prior),n/a (no P1 prior)
high,outcome=S,30,L,4710,942,0.025720542750956248,0.0019239402246316786,1.899922946687488e-37,0.003952415232583277,1.2399114710464264e-10,0.004669373043027718,+,"MATCH (p<.05, DK)"
high,outcome=S,30,D,4710,942,-0.015346964779906595,0.005961203377345781,0.010191128455392596,0.011653105433394905,0.18816428024391987,0.012565436049133231,-,sign matches but not sig. (DK p=0.188)
high,outcome=S,30,S,4710,942,-0.6655354873663909,0.02201938930131034,8.631581492270507e-141,0.03669340606627361,2.785491723979355e-63,0.03831608697348455,(no prior),n/a (no P1 prior)
high,outcome=L,1,S,4710,942,0.015348126731096423,0.01091718902545889,0.16009342126779952,0.00998908562077921,0.12475448757413712,0.011778482423691035,+,sign matches but not sig. (DK p=0.125)
high,outcome=L,1,D,4710,942,-0.003351246955581517,0.003690577371926498,0.36408169293022896,0.0034624415991870014,0.3333502583742786,0.0031854828221974246,(no prior),n/a (no P1 prior)
high,outcome=L,1,L,4710,942,-0.006689807061656828,0.0030096207009398827,0.026465750700223948,0.0034157566646938952,0.05046480950103155,0.00400152516720048,(no prior),n/a (no P1 prior)
high,outcome=L,7,S,4710,942,0.03227026728306539,0.014493897900908867,0.026218610272002004,0.01975525451974301,0.10269776333073784,0.01591256041019066,+,sign matches but not sig. (DK p=0.103)
high,outcome=L,7,D,4710,942,-0.009489551730435258,0.006703882661979633,0.15724382332046216,0.009310612989850668,0.3083610716764731,0.01219884263359286,(no prior),n/a (no P1 prior)
high,outcome=L,7,L,4710,942,-0.014448877651768041,0.004395772149641116,0.0010501023280168182,0.008512442743053995,0.08995488941632372,0.012647777194793004,(no prior),n/a (no P1 prior)
high,outcome=L,14,S,4710,942,0.034248446300313304,0.020437373067610357,0.09411440254164195,0.041622129514954254,0.4108061781727281,0.050366797283978394,+,sign matches but not sig. (DK p=0.411)
high,outcome=L,14,D,4710,942,-0.028001517711583226,0.009554977210585878,0.0034652191615918196,0.019851715738981843,0.15871257519840457,0.023708648499149332,(no prior),n/a (no P1 prior)
high,outcome=L,14,L,4710,942,-0.027676062463270857,0.00581921551173562,2.2841090803744065e-06,0.01671616850220233,0.09812688735793301,0.020373870334482725,(no prior),n/a (no P1 prior)
high,outcome=L,30,S,4710,942,0.07766710804917196,0.023852134376922386,0.0011695146935589427,0.05108349579576839,0.12874757299322476,0.05919487946832841,+,sign matches but not sig. (DK p=0.129)
high,outcome=L,30,D,4710,942,-0.06659389749977514,0.014037328713096278,2.4194478853915008e-06,0.03658226476260678,0.06901754615885103,0.035244073344064,(no prior),n/a (no P1 prior)
high,outcome=L,30,L,4710,942,-0.05647432292869572,0.007728705401456798,5.821567937911265e-13,0.03335932482823869,0.09080366530698909,0.029707848726747022,(no prior),n/a (no P1 prior)
high,outcome=D,1,L,4710,942,0.011711939074690068,0.00726038478959425,0.10705171332669729,0.007243629615131769,0.10624354077312573,0.010739345349644587,-,"WRONG SIGN (predicted -, got +)"
high,outcome=D,1,S,4710,942,-0.023007803074664625,0.0224286573297615,0.3052392642634446,0.0235903428664862,0.3296591432512187,0.0293132370275903,(no prior),n/a (no P1 prior)
high,outcome=D,1,D,4710,942,-0.552219269814325,0.02273094471386296,1.3795064519850986e-101,0.026960641805769,2.156622117246195e-77,0.034424452173876165,(no prior),n/a (no P1 prior)
high,outcome=D,7,L,4710,942,0.012234943072307923,0.007534850258377879,0.10475756606755203,0.010463808137143206,0.24259380418727872,0.01486827388538116,-,"WRONG SIGN (predicted -, got +)"
high,outcome=D,7,S,4710,942,-0.022470220803341472,0.02680641437386623,0.40210853961103576,0.03413595018992604,0.5105341508783298,0.04137083711269148,(no prior),n/a (no P1 prior)
high,outcome=D,7,D,4710,942,-0.6504342050711174,0.022466204804179372,2.637496902703255e-132,0.032356322281545086,4.677852450219864e-75,0.04528786676348831,(no prior),n/a (no P1 prior)
high,outcome=D,14,L,4710,942,0.01372026565825158,0.007927002835458613,0.08381054387948338,0.013681668520242947,0.3162049918962752,0.01766847750815451,-,"WRONG SIGN (predicted -, got +)"
high,outcome=D,14,S,4710,942,0.0034057560497707533,0.024860418663737473,0.8910639567181151,0.04487247973352649,0.9395159449801003,0.05263604868364835,(no prior),n/a (no P1 prior)
high,outcome=D,14,D,4710,942,-0.7202924288645952,0.021798677512679516,1.450014939242331e-159,0.03800905059620823,4.33893728312643e-68,0.04960933001942536,(no prior),n/a (no P1 prior)
high,outcome=D,30,L,4710,942,0.01858663522943332,0.007352244534264117,0.011633349823409892,0.01512537316932954,0.219439717215916,0.01688566901103637,-,"WRONG SIGN (predicted -, got +)"
high,outcome=D,30,S,4710,942,0.010698291033881865,0.028964055850030673,0.7119392309393106,0.059573339878589794,0.8575195099467094,0.05332266895590602,(no prior),n/a (no P1 prior)
high,outcome=D,30,D,4710,942,-0.6927137687842053,0.02191819991332278,5.474154094572859e-150,0.04438217686387407,5.174369057792115e-49,0.043284924590111545,(no prior),n/a (no P1 prior)
