Window,Version construction,Outcome,Units,N,Pairs,Effect,SE,t,p
+/-12 months,Best-across-versions (existing default),Direct-route availability,pp,"516,240",598,11.1259,2.5658,4.34,<0.001
+/-12 months,Best-across-versions (existing default),Vehicle-route availability,pp,"516,240",598,25.9944,1.9650,13.23,<0.001
+/-12 months,Best-across-versions (existing default),No-direct vehicle-route availability,pp,"516,240",598,-2.1639,0.8656,-2.50,0.013
+/-12 months,Best-across-versions (existing default),Direct-route quality,ratio,"516,240",598,0.1394,0.0333,4.19,<0.001
+/-12 months,Best-across-versions (existing default),Direct cost advantage vs vehicle route,fraction,"193,311",414,-0.0124,0.0284,-0.44,0.663
+/-12 months,V2-only route construction,Direct-route availability,pp,"516,240",598,-39.6643,2.9616,-13.39,<0.001
+/-12 months,V2-only route construction,Vehicle-route availability,pp,"516,240",598,-28.1843,3.1402,-8.98,<0.001
+/-12 months,V2-only route construction,No-direct vehicle-route availability,pp,"516,240",598,-2.2873,0.6321,-3.62,<0.001
+/-12 months,V2-only route construction,Direct-route quality,ratio,"322,410",517,0.0237,0.0030,7.87,<0.001
+/-12 months,V2-only route construction,Direct cost advantage vs vehicle route,fraction,"58,049",297,-0.0051,0.0224,-0.23,0.821
+/-12 months,V3-only route construction,Direct-route availability,pp,"516,240",598,50.7902,2.9230,17.38,<0.001
+/-12 months,V3-only route construction,Vehicle-route availability,pp,"516,240",598,28.7681,1.9185,15.00,<0.001
+/-12 months,V3-only route construction,No-direct vehicle-route availability,pp,"516,240",598,8.5205,1.0193,8.36,<0.001
+/-12 months,V3-only route construction,Direct-route quality,ratio,"137,670",364,-0.0002,0.0002,-0.99,0.321
+/-12 months,V3-only route construction,Direct cost advantage vs vehicle route,fraction,"50,276",243,0.0000,0.0000,0.56,0.574
+/-24 months,Best-across-versions (existing default),Direct-route availability,pp,"768,969",844,11.5096,2.6721,4.31,<0.001
+/-24 months,Best-across-versions (existing default),Vehicle-route availability,pp,"768,969",844,26.0733,2.0775,12.55,<0.001
+/-24 months,Best-across-versions (existing default),No-direct vehicle-route availability,pp,"768,969",844,-2.3110,0.9189,-2.51,0.012
+/-24 months,Best-across-versions (existing default),Direct-route quality,ratio,"768,969",844,0.1290,0.0330,3.91,<0.001
+/-24 months,Best-across-versions (existing default),Direct cost advantage vs vehicle route,fraction,"335,103",527,-0.0023,0.0270,-0.09,0.932
+/-24 months,V2-only route construction,Direct-route availability,pp,"768,969",844,-43.8880,2.9108,-15.08,<0.001
+/-24 months,V2-only route construction,Vehicle-route availability,pp,"768,969",844,-29.1629,3.1526,-9.25,<0.001
+/-24 months,V2-only route construction,No-direct vehicle-route availability,pp,"768,969",844,-2.9050,0.6427,-4.52,<0.001
+/-24 months,V2-only route construction,Direct-route quality,ratio,"408,407",733,0.0173,0.0057,3.01,0.003
+/-24 months,V2-only route construction,Direct cost advantage vs vehicle route,fraction,"61,707",377,0.0007,0.0185,0.04,0.970
+/-24 months,V3-only route construction,Direct-route availability,pp,"768,969",844,55.3977,2.8040,19.76,<0.001
+/-24 months,V3-only route construction,Vehicle-route availability,pp,"768,969",844,32.2204,2.1450,15.02,<0.001
+/-24 months,V3-only route construction,No-direct vehicle-route availability,pp,"768,969",844,7.9494,0.9529,8.34,<0.001
+/-24 months,V3-only route construction,Direct-route quality,ratio,"291,376",502,-0.0002,0.0002,-1.00,0.320
+/-24 months,V3-only route construction,Direct cost advantage vs vehicle route,fraction,"122,665",306,0.0000,0.0000,0.16,0.873
