Window,Subsample,Outcome,Units,N,Pairs,Effect,SE,t,p
+/-12 months,High pre-V3 volatility,|day-to-day change| in route share,pp,"24,338",252,0.4028,1.7994,0.22,0.823
+/-12 months,Low pre-V3 volatility,|day-to-day change| in route share,pp,"39,379",142,-1.1501,1.7912,-0.64,0.522
+/-12 months,High pre-V3 volatility,|day-to-day change| in vehicle HHI,HHI points,"13,122",254,-0.0030,0.0106,-0.28,0.778
+/-12 months,High pre-V3 volatility,|day-to-day change| in direct-pool depth,ratio points,"13,122",254,-0.0163,0.0099,-1.64,0.102
+/-12 months,Low pre-V3 volatility,|day-to-day change| in vehicle HHI,HHI points,"19,039",142,-0.0044,0.0079,-0.56,0.579
+/-12 months,Low pre-V3 volatility,|day-to-day change| in direct-pool depth,ratio points,"19,039",142,0.0047,0.0032,1.49,0.137
+/-24 months,High pre-V3 volatility,|day-to-day change| in route share,pp,"40,232",337,1.6682,1.5891,1.05,0.295
+/-24 months,Low pre-V3 volatility,|day-to-day change| in route share,pp,"55,577",167,-0.9029,2.1139,-0.43,0.670
+/-24 months,High pre-V3 volatility,|day-to-day change| in vehicle HHI,HHI points,"21,403",340,0.0010,0.0083,0.12,0.906
+/-24 months,High pre-V3 volatility,|day-to-day change| in direct-pool depth,ratio points,"21,403",340,-0.0120,0.0111,-1.09,0.278
+/-24 months,Low pre-V3 volatility,|day-to-day change| in vehicle HHI,HHI points,"26,409",167,-0.0052,0.0083,-0.63,0.530
+/-24 months,Low pre-V3 volatility,|day-to-day change| in direct-pool depth,ratio points,"26,409",167,0.0143,0.0047,3.07,0.002
